"","hh_id","plot_id","fertilizer","application_time","application_amount"
"672",886545,914637,"urea",0,40
"673",668662,949042,"urea",0,40
"674",798783,898511,"urea",0,12
"675",957114,779247,"urea",0,24
"676",107894,360337,"urea",0,10
"677",123588,614792,"urea",0,24
"678",495537,942326,"urea",0,22
"679",126957,277258,"urea",0,320
"680",288577,897947,"urea",0,240
"681",238043,578083,"urea",0,120
"682",782515,881030,"urea",0,8
"683",150802,485804,"urea",0,12
"684",340981,398986,"urea",0,15
"685",248279,550016,"urea",0,20
"686",878090,694924,"urea",0,32.5
"687",493372,114274,"urea",0,4
"688",484933,533664,"urea",0,20
"689",905868,494021,"urea",0,15
"690",407326,595455,"urea",0,10
"691",530146,552473,"urea",0,10
"692",416489,595819,"urea",0,5
"693",112801,332001,"urea",0,5
"694",798800,754545,"urea",0,2
"695",378535,136293,"urea",0,10
"696",635785,341681,"urea",0,30
"697",324947,317405,"urea",0,40
"698",984231,190219,"urea",0,30
"699",315766,646732,"urea",0,20
"700",174395,375841,"urea",0,23
"701",252043,211478,"urea",0,40
"702",289021,158978,"urea",0,40
"706",197419,367380,"urea",0,30
"707",581165,140827,"urea",0,17
"708",595812,179464,"urea",0,10
"709",185827,727057,"urea",0,16
"710",577641,357877,"urea",0,15
"711",965621,527464,"urea",0,10
"712",344711,530846,"urea",0,25
"713",949574,801163,"urea",0,15
"714",823369,163435,"urea",0,12.5
"715",991323,891505,"urea",0,20
"716",531256,937406,"urea",0,7.5
"717",351008,670484,"urea",0,27
"718",179452,438917,"urea",0,48
"720",383305,367483,"urea",0,20
"721",711045,504557,"urea",0,14
"724",613446,862871,"urea",0,10
"726",484004,162204,"urea",0,5
"727",538178,428878,"urea",0,24
"728",601001,889374,"urea",0,7.5
"730",427928,942839,"urea",0,40
"731",583197,436120,"urea",0,30
"732",880331,901180,"urea",0,30
"734",559889,357287,"urea",0,20
"735",405233,988079,"urea",0,10
"736",383699,947348,"urea",0,12
"737",879495,295552,"urea",0,16
"738",759836,610322,"urea",0,15
"739",854354,209290,"urea",0,12
"740",961733,159174,"urea",0,25
"741",693961,978146,"urea",0,10
"744",801457,741097,"urea",0,30
"745",929409,681912,"urea",0,15
"746",585933,900408,"urea",0,10
"747",214814,217346,"urea",0,60
"748",606091,369684,"urea",0,20
"751",745678,727950,"urea",0,25
"752",776865,543472,"urea",0,6
"753",776099,445675,"urea",0,7
"754",770002,727871,"urea",0,25
"755",883819,205146,"urea",0,25
"756",308002,315272,"urea",0,25
"757",356807,645644,"urea",0,50
"758",599178,476312,"urea",0,30
"759",779426,901040,"urea",0,30
"760",874791,239663,"urea",0,50
"761",604693,809697,"urea",0,25
"762",338864,961012,"urea",0,50
"763",556497,988748,"urea",0,40
"767",559847,241780,"urea",0,100
"769",421838,326695,"urea",0,66
"770",957072,976489,"urea",0,15
"771",430433,641820,"urea",0,16
"772",673249,186034,"urea",0,14
"773",685292,656162,"urea",0,32
"774",299598,623478,"urea",0,20
"775",614269,743922,"urea",0,16
"776",803012,991659,"urea",0,20
"777",879048,294729,"urea",0,32
"778",252619,343081,"urea",0,60
"779",279567,727883,"urea",0,20
"781",230828,575941,"urea",0,40
"782",779871,671949,"urea",0,20
"783",253118,559547,"urea",0,40
"785",460462,467850,"urea",0,15
"786",703782,720937,"urea",0,18
"787",631402,171864,"urea",0,12
"788",795541,926419,"urea",0,20
"789",994946,812362,"urea",0,16
"790",564031,741933,"urea",0,10
"791",198582,535628,"urea",0,36
"792",936775,402545,"urea",0,7
"793",516140,573305,"urea",0,10
"794",576947,856649,"urea",0,30
"795",894200,622523,"urea",0,8
"796",591419,567091,"urea",0,44
"799",468396,836305,"urea",0,10
"800",538840,664756,"urea",0,50
"801",426227,748547,"urea",0,30
"803",304914,478089,"urea",0,100
"806",188079,631372,"urea",0,50
"807",517585,714495,"urea",0,30
"808",719965,713194,"urea",0,40
"810",838881,554677,"urea",0,20
"811",415117,859282,"urea",0,40
"812",217676,757632,"urea",0,40
"813",166666,315038,"urea",0,40
"814",227138,892451,"urea",0,10
"815",860161,602975,"urea",0,12
"816",963090,960688,"urea",0,50
"817",919054,399758,"urea",0,40
"818",174202,733427,"urea",0,30
"819",218815,807212,"urea",0,32
"820",107402,482256,"urea",0,20
"821",424750,275403,"urea",0,44
"822",171956,255312,"urea",0,90
"823",844238,261642,"urea",0,10
"824",604286,117275,"urea",0,60
"825",481048,505796,"urea",0,30
"826",319940,248509,"urea",0,45
"829",733567,293880,"urea",0,40
"830",669783,605701,"urea",0,30
"831",156187,693595,"urea",0,50
"833",723083,173306,"urea",0,40
"835",243628,662121,"urea",0,35
"837",390669,382999,"urea",0,16
"838",513366,184150,"urea",0,24
"839",141557,230555,"urea",0,10
"840",180738,796016,"urea",0,4
"841",729151,162573,"urea",0,20
"842",554214,136404,"urea",0,28
"843",955439,765869,"urea",0,15
"844",192090,130085,"urea",0,20
"845",159336,868342,"urea",0,20
"846",348159,429367,"urea",0,20
"847",668086,553091,"urea",0,7
"848",184641,781511,"urea",0,30
"852",157263,327694,"urea",0,20
"853",434485,337359,"urea",0,20
